date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:50%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/products/Saba.club_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Saba.club_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:52	19260/19260	---M--	200	added ('OK')	image/png	etag:%22a9ab9cf2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/products/Saba.club_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Saba.club_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:53	38363/38363	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2012:18:52%20GMT	https://www.pking88.com/b/ch	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/ch.html	(from https://www.pking88.com/b/vn)
19:18:54	40234/40234	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2012:18:53%20GMT	https://www.pking88.com/b/jp	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/jp.html	(from https://www.pking88.com/b/vn)
19:18:54	84380/84380	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.pking88.com/b/scripts/jquery-2.1.4.min.js?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/scripts/jquery-2.1.4.minbe73.js	(from https://www.pking88.com/b/vn)
19:18:54	629/629	URF---	200	added ('OK%20(cached)')	image/x-icon		https://i.nvxcdn.com/resb/viva88/common/images/favicon.ico?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/faviconbe73.ico	(from https://www.pking88.com/b/vn)
19:18:54	69246/69246	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.pking88.com/b/scripts/GestureClass.js?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/scripts/GestureClassbe73.js	(from https://www.pking88.com/b/vn)
19:18:56	13330/13330	---M--	200	added ('OK')	image/png	etag:%22b0ea9ef2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/ui/language_flags.png?41406	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/ui/language_flagsc4ac.png	(from https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156)
19:18:56	3811/3811	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22ee3-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/webpack-d1910b1a8de6a091.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/webpack-d1910b1a8de6a091.js	(from https://www.pking88.com/b/vn)
19:18:56	91460/91460	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.pking88.com/b/vn)
19:18:57	25847/25847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c48c98f2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_en.svg?7473	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_en30d0.svg	(from https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156)
19:18:57	142665/142665	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2222d49-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/pages/_app-057ea8749037b88c.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/pages/_app-057ea8749037b88c.js	(from https://www.pking88.com/b/vn)
19:18:57	141052/141052	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22226fc-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/framework-2c79e2a64abdb08b.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/framework-2c79e2a64abdb08b.js	(from https://www.pking88.com/b/vn)
19:18:57	112497/112497	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%221b771-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/main-c0360f540137fe89.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/main-c0360f540137fe89.js	(from https://www.pking88.com/b/vn)
